title,year,winner
The Hurt Locker,2009,1
Avatar,2009,0
The Blind Side,2009,0
District 9,2009,0
An Education,2009,0
Inglorious Basterds,2009,0
Precious: Based on the Novel 'Push' by Sapphire,2009,0
A Serious Man,2009,0
Up,2009,0
Up in the Air,2009,0
The King's Speech,2010,1
127 Hours,2010,0
Black Swan,2010,0
The Fighter,2010,0
Inception,2010,0
The Kids Are All Right,2010,0
The Social Network,2010,0
Toy Story 3,2010,0
True Grit,2010,0
Winter's Bone,2010,0
The Artist,2011,1
The Descendants,2011,0
Extremely Loud & Incredibly Close,2011,0
The Help,2011,0
Hugo,2011,0
Midnight in Paris,2011,0
Moneyball,2011,0
The Tree of Life,2011,0
War Horse,2011,0
Argo,2012,1
Amour,2012,0
Beasts of the Southern Wild,2012,0
Django Unchained,2012,0
Les Miserables,2012,0
Life of Pi,2012,0
Lincoln,2012,0
Silver Linings Playbook,2012,0
Zero Dark Thirty,2012,0
12 Years a Slave,2013,1
American Hustle,2013,0
Captain Phillips,2013,0
Dallas Buyers Club,2013,0
Gravity,2013,0
Her,2013,0
Nebraska,2013,0
Philomena,2013,0
The Wolf of Wall Street,2013,0
Birdman or (The Unexpected Virtue of Ignorance),2014,1
American Sniper,2014,0
Boyhood,2014,0
The Grand Budapest Hotel,2014,0
The Imitation Game,2014,0
Selma,2014,0
The Theory of Everything,2014,0
Whiplash,2014,0
Spotlight,2015,1
The Big Short,2015,0
Bridge of Spies,2015,0
Brooklyn,2015,0
Mad Max: Fury Road,2015,0
The Martian,2015,0
The Revenant,2015,0
Room,2015,0
Moonlight,2016,1
Arrival,2016,0
Fences,2016,0
Hacksaw Ridge,2016,0
Hell or High Water,2016,0
Hidden Figures,2016,0
La La Land,2016,0
Lion,2016,0
Manchester by the Sea,2016,0
The Shape of Water,2017,1
Call Me By Your Name,2017,0
Darkest Hour,2017,0
Dunkirk,2017,0
Get Out,2017,0
Lady Bird,2017,0
Phantom Thread,2017,0
The Post,2017,0
"Three Billboards Outside Ebbing, Missouri",2017,0
